Info,Info_Set,Accuracy
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,0.0
Stand (8/2),Exp_2025-08-02-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/2),Exp_2025-08-02-v2/E9AD0E7DCC2B/,0.0
Stand (8/9),Exp_2025-08-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/9),Exp_2025-08-09-v2/E9AD0E7DCC2B/,0.0
Stand (8/10),Exp_2025-08-10-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/10),Exp_2025-08-10-v2/E9AD0E7DCC2B/,0.0
Stand (8/11),Exp_2025-08-11-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/11),Exp_2025-08-11-v2/E9AD0E7DCC2B/,0.0
Stand (8/12),Exp_2025-08-12-v1/E9AD0E7DCC2B/,93.4959352016449
Sit_chair (8/12),Exp_2025-08-12-v2/E9AD0E7DCC2B/,92.71
Stand (8/13),Exp_2025-08-13-v1/E9AD0E7DCC2B/,91.87
Sit_chair (8/13),Exp_2025-08-13-v2/E9AD0E7DCC2B/,91.84
Stand (8/14),Exp_2025-08-14-v1/E9AD0E7DCC2B/,90.89
Sit_chair (8/14),Exp_2025-08-14-v2/E9AD0E7DCC2B/,91.76
Stand (8/15),Exp_2025-08-15-v1/E9AD0E7DCC2B/,88.15
Sit_chair (8/15),Exp_2025-08-15-v2/E9AD0E7DCC2B/,89.72
