Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,90.50160050392151
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,91.63
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,91.32
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,91.94
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,89.35
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,89.57
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,91.9
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,81.56
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,86.74
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,91.97
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,94.41
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,88.49
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.43
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,91.1
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,88.44
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,86.9
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,91.39
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,93.15
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,91.47
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,86.15
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,86.08
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,90.5
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,88.7
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,89.05
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,91.61
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,90.71
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,91.37
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,92.22
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,90.84
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,90.08
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,89.9
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,91.29
