Info,Info_Set,Accuracy
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,0.0
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,0.0
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,0.0
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,0.0
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,0.0
Stand (7/24),Exp_2025-07-24-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/24),Exp_2025-07-24-v2/E9AD0E7DCC2B/,92.39704608917236
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,94.96
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,94.23
